Project ID,Project Name,Project Start Date,Address,Borough,Postcode,Community Board,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status
53569,CONFIDENTIAL,09/19/2014,---- ----,Brooklyn,,BK-17,,New Construction,Non Prevailing Wage
58192,CONFIDENTIAL,09/19/2014,---- ----,Bronx,,BX-09,,Preservation,Non Prevailing Wage
53578,CONFIDENTIAL,09/17/2014,---- ----,Staten Island,,SI-03,,New Construction,Non Prevailing Wage
58177,CONFIDENTIAL,09/17/2014,---- ----,Brooklyn,,BK-09,,Preservation,Non Prevailing Wage
50187,11 Jackson Street,09/16/2014,11 JACKSON STREET,Brooklyn,11211.0,BK-01,BK73,New Construction,Non Prevailing Wage
53604,CONFIDENTIAL,09/16/2014,---- ----,Brooklyn,,BK-03,,New Construction,Non Prevailing Wage
53586,CONFIDENTIAL,09/12/2014,---- ----,Queens,,QN-09,,New Construction,Non Prevailing Wage
53587,CONFIDENTIAL,09/12/2014,---- ----,Staten Island,,SI-03,,New Construction,Non Prevailing Wage
53602,CONFIDENTIAL,09/12/2014,---- ----,Brooklyn,,BK-03,,New Construction,Non Prevailing Wage
58199,CONFIDENTIAL,09/12/2014,---- ----,Staten Island,,SI-02,,Preservation,Non Prevailing Wage
58218,CONFIDENTIAL,09/11/2014,---- ----,Staten Island,,SI-02,,Preservation,Non Prevailing Wage
58247,CONFIDENTIAL,09/11/2014,---- ----,Staten Island,,SI-01,,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,219 BAINBRIDGE STREET,Brooklyn,11233.0,BK-03,BK61,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,905A GATES AVENUE,Brooklyn,11221.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,914 GATES AVENUE,Brooklyn,11221.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,462 HANCOCK STREET,Brooklyn,11233.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,625 MACON STREET,Brooklyn,11233.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,508 MAC DONOUGH STREET,Brooklyn,11233.0,BK-03,BK61,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,179 MALCOLM X BOULEVARD,Brooklyn,11221.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,187 MALCOLM X BOULEVARD,Brooklyn,11221.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,214 MALCOLM X BOULEVARD,Brooklyn,11221.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,226 MALCOLM X BOULEVARD,Brooklyn,11221.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,237 MALCOLM X BOULEVARD,Brooklyn,11233.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,244 MALCOLM X BOULEVARD,Brooklyn,11233.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,248 MALCOLM X BOULEVARD,Brooklyn,11233.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,254 MALCOLM X BOULEVARD,Brooklyn,11233.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,260 MALCOLM X BOULEVARD,Brooklyn,11233.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,261 MALCOLM X BOULEVARD,Brooklyn,11233.0,BK-03,BK35,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,281 MALCOLM X BOULEVARD,Brooklyn,11233.0,BK-03,BK61,Preservation,Non Prevailing Wage
50404,Vannguard,09/10/2014,295 MALCOLM X BOULEVARD,Brooklyn,11233.0,BK-03,BK61,Preservation,Non Prevailing Wage
53583,CONFIDENTIAL,09/10/2014,---- ----,Staten Island,,SI-01,,New Construction,Non Prevailing Wage
49959,L&M HCCI 260 W 153RD STREET,09/09/2014,260 WEST 153 STREET,Manhattan,10039.0,MN-10,MN03,New Construction,Non Prevailing Wage
53564,CONFIDENTIAL,09/09/2014,---- ----,Brooklyn,,BK-11,,New Construction,Non Prevailing Wage
58246,CONFIDENTIAL,09/09/2014,---- ----,Queens,,QN-11,,Preservation,Non Prevailing Wage
52138,CONFIDENTIAL,09/05/2014,---- ----,Brooklyn,,BK-17,,Preservation,Non Prevailing Wage
58226,CONFIDENTIAL,09/05/2014,---- ----,Queens,,QN-13,,Preservation,Non Prevailing Wage
58190,CONFIDENTIAL,09/04/2014,---- ----,Staten Island,,SI-03,,Preservation,Non Prevailing Wage
53003,CONFIDENTIAL,09/03/2014,---- ----,Bronx,,BX-01,,Preservation,Non Prevailing Wage
58217,CONFIDENTIAL,09/03/2014,---- ----,Brooklyn,,BK-17,,Preservation,Non Prevailing Wage
58229,CONFIDENTIAL,09/03/2014,---- ----,Queens,,QN-14,,Preservation,Non Prevailing Wage
53195,CONFIDENTIAL,09/01/2014,---- ----,Bronx,,BX-12,,Preservation,Non Prevailing Wage
53472,CONFIDENTIAL,08/29/2014,---- ----,Brooklyn,,BK-15,,New Construction,Non Prevailing Wage
53470,CONFIDENTIAL,08/28/2014,---- ----,Bronx,,BX-09,,New Construction,Non Prevailing Wage
58214,CONFIDENTIAL,08/28/2014,---- ----,Bronx,,BX-12,,Preservation,Non Prevailing Wage
58215,CONFIDENTIAL,08/28/2014,---- ----,Queens,,QN-12,,Preservation,Non Prevailing Wage
58213,CONFIDENTIAL,08/27/2014,---- ----,Staten Island,,SI-01,,Preservation,Non Prevailing Wage
49945,365 BOND STREET,08/26/2014,365 BOND STREET,Brooklyn,11231.0,BK-06,BK33,New Construction,Non Prevailing Wage
53469,CONFIDENTIAL,08/25/2014,---- ----,Staten Island,,SI-02,,New Construction,Non Prevailing Wage
52878,CONFIDENTIAL,08/22/2014,---- ----,Brooklyn,,BK-16,,Preservation,Non Prevailing Wage
44333,HIGHBRIDGE CDC. 1448 PLIMPTON AVE. ARTSBRIDGE,08/21/2014,1450 PLIMPTON AVENUE,Bronx,10452.0,BX-04,BX26,New Construction,Prevailing Wage
58212,CONFIDENTIAL,08/19/2014,---- ----,Staten Island,,SI-01,,Preservation,Non Prevailing Wage
58505,Navy Pier Apartments (20140207),08/19/2014,355 FRONT STREET,Staten Island,10304.0,SI-01,SI37,New Construction,Non Prevailing Wage
58505,Navy Pier Apartments (20140207),08/19/2014,455 FRONT STREET,Staten Island,10304.0,SI-01,SI37,New Construction,Non Prevailing Wage
53449,CONFIDENTIAL,08/18/2014,---- ----,Brooklyn,,BK-11,,New Construction,Non Prevailing Wage
53454,CONFIDENTIAL,08/18/2014,---- ----,Brooklyn,,BK-05,,New Construction,Non Prevailing Wage
