school/math.Grade,school/math.Year,school/math.Category,school/math.Number Tested,school/math.Mean Scale Score,school/math.Level 1 #,school/math.Level 1 %,school/math.Level 2 #,school/math.Level 2 %,school/math.Level 3 #,school/math.Level 3 %,school/math.Level 4 #,school/math.Level 4 %,school/math.Level 3+4 #,school/math.Level 3+4 %,DBN
4,2010,All Students,119,665.0,18.0,15.1,59.0,49.6,36.0,30.3,6.0,5.0,42.0,35.3,06M115
5,2010,All Students,60,706.0,1.0,1.7,7.0,11.7,25.0,41.7,27.0,45.0,52.0,86.7,15K058
4,2008,All Students,198,700.0,4.0,2.0,7.0,3.5,88.0,44.4,99.0,50.0,187.0,94.4,15K321
5,2011,All Students,126,678.0,11.0,8.7,40.0,31.7,57.0,45.2,18.0,14.3,75.0,59.5,20K179
8,2011,All Students,78,683.0,5.0,6.4,20.0,25.6,35.0,44.9,18.0,23.1,53.0,67.9,28Q284
5,2009,All Students,63,668.0,7.0,11.1,12.0,19.0,27.0,42.9,17.0,27.0,44.0,69.8,17K316
5,2006,All Students,32,629.0,9.0,28.1,14.0,43.8,9.0,28.1,0.0,0.0,9.0,28.1,01M188
3,2008,All Students,72,680.0,1.0,1.4,4.0,5.6,58.0,80.6,9.0,12.5,67.0,93.1,03M180
All Grades,2007,All Students,395,,16.0,4.1,43.0,10.9,163.0,41.3,173.0,43.8,336.0,85.1,25Q165
4,2008,All Students,81,696.0,5.0,6.2,4.0,4.9,35.0,43.2,37.0,45.7,72.0,88.9,02M001
3,2008,All Students,76,659.0,10.0,13.2,21.0,27.6,41.0,53.9,4.0,5.3,45.0,59.2,23K041
All Grades,2010,All Students,93,,20.0,21.5,25.0,26.9,32.0,34.4,16.0,17.2,48.0,51.6,31R026
All Grades,2006,All Students,1250,,198.0,15.8,445.0,35.6,516.0,41.3,91.0,7.3,607.0,48.6,24Q077
All Grades,2011,All Students,165,676.0,18.0,10.9,68.0,41.2,71.0,43.0,8.0,4.8,79.0,47.9,11X189
3,2008,All Students,154,687.0,2.0,1.3,7.0,4.5,114.0,74.0,31.0,20.1,145.0,94.2,08X071
All Grades,2008,All Students,218,,9.0,4.1,18.0,8.3,114.0,52.3,77.0,35.3,191.0,87.6,20K164
All Grades,2011,All Students,245,706.0,7.0,2.9,24.0,9.8,106.0,43.3,108.0,44.1,214.0,87.3,26Q133
All Grades,2009,All Students,161,,3.0,1.9,21.0,13.0,109.0,67.7,28.0,17.4,137.0,85.1,19K190
4,2011,All Students,125,715.0,1.0,0.8,8.0,6.4,38.0,30.4,78.0,62.4,116.0,92.8,02M116
All Grades,2009,All Students,278,,0.0,0.0,12.0,4.3,164.0,59.0,102.0,36.7,266.0,95.7,24Q007
5,2010,All Students,137,668.0,15.0,10.9,64.0,46.7,45.0,32.8,13.0,9.5,58.0,42.3,09X073
All Grades,2010,All Students,148,,103.0,69.6,43.0,29.1,2.0,1.4,0.0,0.0,2.0,1.4,75X168
4,2006,All Students,190,697.0,7.0,3.7,15.0,7.9,81.0,42.6,87.0,45.8,168.0,88.4,20K105
7,2011,All Students,64,676.0,2.0,3.1,27.0,42.2,24.0,37.5,11.0,17.2,35.0,54.7,20K609
4,2008,All Students,44,690.0,1.0,2.3,3.0,6.8,25.0,56.8,15.0,34.1,40.0,90.9,01M134
All Grades,2007,All Students,579,,5.0,0.9,39.0,6.7,295.0,50.9,240.0,41.5,535.0,92.4,28Q117
8,2011,All Students,50,701.0,0.0,0.0,7.0,14.0,19.0,38.0,24.0,48.0,43.0,86.0,25Q200
All Grades,2008,All Students,11,,1.0,9.1,2.0,18.2,7.0,63.6,1.0,9.1,8.0,72.7,75Q233
4,2008,All Students,14,663.0,0.0,0.0,3.0,21.4,11.0,78.6,0.0,0.0,11.0,78.6,75K053
3,2010,All Students,91,694.0,5.0,5.5,33.0,36.3,28.0,30.8,25.0,27.5,53.0,58.2,07X001
5,2008,All Students,125,657.0,11.0,8.8,30.0,24.0,77.0,61.6,7.0,5.6,84.0,67.2,12X050
7,2010,All Students,4,,,,,,,,,,,,75X721
4,2010,All Students,26,695.0,1.0,3.8,2.0,7.7,16.0,61.5,7.0,26.9,23.0,88.5,02M150
8,2011,All Students,365,669.0,40.0,11.0,170.0,46.6,104.0,28.5,51.0,14.0,155.0,42.5,20K062
3,2009,All Students,133,691.0,1.0,0.8,13.0,9.8,82.0,61.7,37.0,27.8,119.0,89.5,24Q102
3,2010,All Students,109,678.0,15.0,13.8,56.0,51.4,29.0,26.6,9.0,8.3,38.0,34.9,10X059
4,2010,All Students,57,688.0,3.0,5.3,15.0,26.3,23.0,40.4,16.0,28.1,39.0,68.4,24Q087
All Grades,2007,All Students,205,,122.0,59.5,59.0,28.8,23.0,11.2,1.0,0.5,24.0,11.7,75K368
4,2009,All Students,59,688.0,1.0,1.7,4.0,6.8,37.0,62.7,17.0,28.8,54.0,91.5,31R020
5,2006,All Students,103,676.0,4.0,3.9,17.0,16.5,55.0,53.4,27.0,26.2,82.0,79.6,30Q002
8,2007,All Students,517,645.0,77.0,14.9,226.0,43.7,188.0,36.4,26.0,5.0,214.0,41.4,06M143
6,2007,All Students,82,631.0,24.0,29.3,37.0,45.1,21.0,25.6,0.0,0.0,21.0,25.6,28Q008
3,2011,All Students,153,680.0,12.0,7.8,68.0,44.4,66.0,43.1,7.0,4.6,73.0,47.7,19K108
7,2008,All Students,74,650.0,5.0,6.8,26.0,35.1,41.0,55.4,2.0,2.7,43.0,58.1,16K534
5,2010,All Students,57,666.0,8.0,14.0,29.0,50.9,12.0,21.1,8.0,14.0,20.0,35.1,28Q048
4,2009,All Students,45,664.0,5.0,11.1,10.0,22.2,22.0,48.9,8.0,17.8,30.0,66.7,15K027
All Grades,2006,All Students,250,,11.0,4.4,21.0,8.4,115.0,46.0,103.0,41.2,218.0,87.2,24Q049
3,2010,All Students,80,704.0,2.0,2.5,16.0,20.0,31.0,38.8,31.0,38.8,62.0,77.5,26Q031
3,2006,All Students,71,692.0,1.0,1.4,3.0,4.2,43.0,60.6,24.0,33.8,67.0,94.4,06M187
8,2011,All Students,82,659.0,13.0,15.9,46.0,56.1,21.0,25.6,2.0,2.4,23.0,28.0,12X372
8,2009,All Students,4,,,,,,,,,,,,75Q177
5,2006,All Students,133,682.0,11.0,8.3,11.0,8.3,64.0,48.1,47.0,35.3,111.0,83.5,21K101
4,2009,All Students,82,691.0,1.0,1.2,11.0,13.4,43.0,52.4,27.0,32.9,70.0,85.4,17K138
8,2006,All Students,85,634.0,21.0,24.7,37.0,43.5,26.0,30.6,1.0,1.2,27.0,31.8,09X505
All Grades,2007,All Students,142,,18.0,12.7,50.0,35.2,64.0,45.1,10.0,7.0,74.0,52.1,15K464
All Grades,2009,All Students,69,,1.0,1.4,10.0,14.5,44.0,63.8,14.0,20.3,58.0,84.1,06M366
4,2009,All Students,113,722.0,0.0,0.0,0.0,0.0,26.0,23.0,87.0,77.0,113.0,100.0,02M041
All Grades,2011,All Students,345,698.0,7.0,2.0,54.0,15.7,172.0,49.9,112.0,32.5,284.0,82.3,21K100
4,2011,All Students,81,670.0,9.0,11.1,38.0,46.9,29.0,35.8,5.0,6.2,34.0,42.0,09X042
8,2007,All Students,514,663.0,66.0,12.8,136.0,26.5,226.0,44.0,86.0,16.7,312.0,60.7,24Q005
4,2011,All Students,76,708.0,0.0,0.0,8.0,10.5,26.0,34.2,42.0,55.3,68.0,89.5,25Q184
All Grades,2008,All Students,588,,5.0,0.9,30.0,5.1,322.0,54.8,231.0,39.3,553.0,94.0,27Q108
All Grades,2010,All Students,142,,15.0,10.6,67.0,47.2,42.0,29.6,18.0,12.7,60.0,42.3,29Q038
All Grades,2008,All Students,534,,20.0,3.7,54.0,10.1,289.0,54.1,171.0,32.0,460.0,86.1,15K230
7,2011,All Students,44,641.0,15.0,34.1,25.0,56.8,4.0,9.1,0.0,0.0,4.0,9.1,12X245
7,2008,All Students,162,664.0,4.0,2.5,36.0,22.2,99.0,61.1,23.0,14.2,122.0,75.3,10X368
5,2007,All Students,121,640.0,23.0,19.0,60.0,49.6,34.0,28.1,4.0,3.3,38.0,31.4,09X126
5,2006,All Students,69,639.0,17.0,24.6,20.0,29.0,30.0,43.5,2.0,2.9,32.0,46.4,13K054
3,2006,All Students,208,681.0,14.0,6.7,25.0,12.0,104.0,50.0,65.0,31.3,169.0,81.3,29Q095
7,2006,All Students,77,618.0,30.0,39.0,36.0,46.8,11.0,14.3,0.0,0.0,11.0,14.3,12X286
4,2009,All Students,53,750.0,2.0,3.8,0.0,0.0,1.0,1.9,50.0,94.3,51.0,96.2,02M077
6,2006,All Students,53,611.0,29.0,54.7,18.0,34.0,6.0,11.3,0.0,0.0,6.0,11.3,09X328
6,2008,All Students,227,666.0,28.0,12.3,37.0,16.3,117.0,51.5,45.0,19.8,162.0,71.4,08X125
5,2008,All Students,83,699.0,3.0,3.6,6.0,7.2,35.0,42.2,39.0,47.0,74.0,89.2,21K212
3,2009,All Students,278,702.0,0.0,0.0,12.0,4.3,164.0,59.0,102.0,36.7,266.0,95.7,24Q007
3,2008,All Students,82,685.0,2.0,2.4,2.0,2.4,60.0,73.2,18.0,22.0,78.0,95.1,01M020
5,2010,All Students,33,674.0,2.0,6.1,15.0,45.5,12.0,36.4,4.0,12.1,16.0,48.5,09X004
5,2008,All Students,229,701.0,0.0,0.0,9.0,3.9,110.0,48.0,110.0,48.0,220.0,96.1,24Q877
5,2011,All Students,66,674.0,3.0,4.5,34.0,51.5,24.0,36.4,5.0,7.6,29.0,43.9,05M129
4,2010,All Students,198,677.0,12.0,6.1,92.0,46.5,64.0,32.3,30.0,15.2,94.0,47.5,24Q081
3,2006,All Students,83,702.0,0.0,0.0,1.0,1.2,42.0,50.6,40.0,48.2,82.0,98.8,25Q154
6,2009,All Students,61,668.0,3.0,4.9,16.0,26.2,29.0,47.5,13.0,21.3,42.0,68.9,27Q225
3,2010,All Students,54,687.0,6.0,11.1,15.0,27.8,26.0,48.1,7.0,13.0,33.0,61.1,14K110
6,2007,All Students,84,665.0,9.0,10.7,21.0,25.0,38.0,45.2,16.0,19.0,54.0,64.3,01M345
All Grades,2006,All Students,278,,100.0,36.0,134.0,48.2,43.0,15.5,1.0,0.4,44.0,15.8,16K035
All Grades,2006,All Students,239,,5.0,2.1,18.0,7.5,115.0,48.1,101.0,42.3,216.0,90.4,20K112
All Grades,2007,All Students,363,,24.0,6.6,124.0,34.2,178.0,49.0,37.0,10.2,215.0,59.2,22K381
6,2011,All Students,362,692.0,5.0,1.4,77.0,21.3,154.0,42.5,126.0,34.8,280.0,77.3,31R034
7,2008,All Students,61,676.0,0.0,0.0,5.0,8.2,40.0,65.6,16.0,26.2,56.0,91.8,21K468
5,2009,All Students,4,,,,,,,,,,,,75Q993
All Grades,2009,All Students,317,,4.0,1.3,19.0,6.0,175.0,55.2,119.0,37.5,294.0,92.7,30Q002
7,2009,All Students,161,657.0,6.0,3.7,51.0,31.7,98.0,60.9,6.0,3.7,104.0,64.6,14K071
8,2008,All Students,55,659.0,2.0,3.6,14.0,25.5,35.0,63.6,4.0,7.3,39.0,70.9,04M096
7,2008,All Students,559,674.0,20.0,3.6,103.0,18.4,299.0,53.5,137.0,24.5,436.0,78.0,31R072
3,2008,All Students,70,678.0,0.0,0.0,13.0,18.6,47.0,67.1,10.0,14.3,57.0,81.4,04M096
3,2009,All Students,68,683.0,0.0,0.0,3.0,4.4,50.0,73.5,15.0,22.1,65.0,95.6,04M206
All Grades,2007,All Students,148,,0.0,0.0,5.0,3.4,69.0,46.6,74.0,50.0,143.0,96.6,26Q186
8,2007,All Students,117,677.0,1.0,0.9,11.0,9.4,87.0,74.4,18.0,15.4,105.0,89.7,03M862
3,2010,All Students,132,704.0,1.0,0.8,31.0,23.5,48.0,36.4,52.0,39.4,100.0,75.8,25Q129
All Grades,2008,All Students,641,,25.0,3.9,129.0,20.1,359.0,56.0,128.0,20.0,487.0,76.0,10X141
5,2008,All Students,178,695.0,1.0,0.6,10.0,5.6,90.0,50.6,77.0,43.3,167.0,93.8,27Q100
All Grades,2006,All Students,294,,0.0,0.0,5.0,1.7,133.0,45.2,156.0,53.1,289.0,98.3,14K031
3,2008,All Students,54,708.0,0.0,0.0,0.0,0.0,30.0,55.6,24.0,44.4,54.0,100.0,25Q184
All Grades,2007,All Students,200,,24.0,12.0,35.0,17.5,94.0,47.0,47.0,23.5,141.0,70.5,14K110
All Grades,2011,All Students,242,657.0,81.0,33.5,108.0,44.6,50.0,20.7,3.0,1.2,53.0,21.9,14K019
4,2006,All Students,105,666.0,6.0,5.7,28.0,26.7,51.0,48.6,20.0,19.0,71.0,67.6,04M057
3,2007,All Students,78,661.0,10.0,12.8,20.0,25.6,39.0,50.0,9.0,11.5,48.0,61.5,05M123
4,2010,All Students,64,666.0,8.0,12.5,36.0,56.3,12.0,18.8,8.0,12.5,20.0,31.3,03M076
3,2011,All Students,2,,,,,,,,,,,,75Q993
All Grades,2011,All Students,163,623.0,111.0,68.1,45.0,27.6,5.0,3.1,2.0,1.2,7.0,4.3,75M169
5,2011,All Students,140,688.0,3.0,2.1,36.0,25.7,72.0,51.4,29.0,20.7,101.0,72.1,27Q090
5,2007,All Students,94,696.0,1.0,1.1,8.0,8.5,42.0,44.7,43.0,45.7,85.0,90.4,20K048
3,2007,All Students,138,709.0,1.0,0.7,4.0,2.9,54.0,39.1,79.0,57.2,133.0,96.4,27Q064
3,2009,All Students,62,688.0,0.0,0.0,4.0,6.5,43.0,69.4,15.0,24.2,58.0,93.5,16K005
All Grades,2011,All Students,150,686.0,9.0,6.0,47.0,31.3,67.0,44.7,27.0,18.0,94.0,62.7,14K110
3,2008,All Students,176,701.0,1.0,0.6,8.0,4.5,90.0,51.1,77.0,43.8,167.0,94.9,28Q117
6,2006,All Students,624,678.0,29.0,4.6,82.0,13.1,344.0,55.1,169.0,27.1,513.0,82.2,22K234
8,2007,All Students,104,671.0,1.0,1.0,19.0,18.3,67.0,64.4,17.0,16.3,84.0,80.8,01M839
3,2009,All Students,13,655.0,1.0,7.7,6.0,46.2,5.0,38.5,1.0,7.7,6.0,46.2,75Q023
4,2009,All Students,106,696.0,3.0,2.8,9.0,8.5,52.0,49.1,42.0,39.6,94.0,88.7,19K202
3,2007,All Students,102,678.0,7.0,6.9,17.0,16.7,54.0,52.9,24.0,23.5,78.0,76.5,19K013
5,2009,All Students,140,685.0,1.0,0.7,14.0,10.0,79.0,56.4,46.0,32.9,125.0,89.3,11X121
All Grades,2009,All Students,623,,17.0,2.7,29.0,4.7,316.0,50.7,261.0,41.9,577.0,92.6,30Q152
3,2007,All Students,46,685.0,0.0,0.0,6.0,13.0,32.0,69.6,8.0,17.4,40.0,87.0,02M051
7,2006,All Students,200,636.0,33.0,16.5,97.0,48.5,69.0,34.5,1.0,0.5,70.0,35.0,04M825
3,2009,All Students,122,696.0,3.0,2.5,0.0,0.0,85.0,69.7,34.0,27.9,119.0,97.5,10X081
All Grades,2009,All Students,487,,6.0,1.2,41.0,8.4,286.0,58.7,154.0,31.6,440.0,90.3,28Q050
5,2011,All Students,71,683.0,1.0,1.4,26.0,36.6,34.0,47.9,10.0,14.1,44.0,62.0,13K009
3,2006,All Students,94,664.0,11.0,11.7,16.0,17.0,53.0,56.4,14.0,14.9,67.0,71.3,04M072
7,2008,All Students,77,669.0,0.0,0.0,12.0,15.6,56.0,72.7,9.0,11.7,65.0,84.4,27Q262
7,2008,All Students,263,669.0,10.0,3.8,55.0,20.9,137.0,52.1,61.0,23.2,198.0,75.3,30Q204
6,2009,All Students,75,702.0,0.0,0.0,2.0,2.7,28.0,37.3,45.0,60.0,73.0,97.3,17K590
6,2011,All Students,192,663.0,34.0,17.7,92.0,47.9,51.0,26.6,15.0,7.8,66.0,34.4,32K162
8,2010,All Students,322,681.0,15.0,4.7,123.0,38.2,122.0,37.9,62.0,19.3,184.0,57.1,30Q010
8,2009,All Students,72,645.0,6.0,8.3,37.0,51.4,27.0,37.5,2.0,2.8,29.0,40.3,10X243
4,2010,All Students,35,671.0,5.0,14.3,14.0,40.0,13.0,37.1,3.0,8.6,16.0,45.7,17K316
8,2006,All Students,288,634.0,76.0,26.4,113.0,39.2,89.0,30.9,10.0,3.5,99.0,34.4,20K223
7,2008,All Students,74,663.0,0.0,0.0,18.0,24.3,53.0,71.6,3.0,4.1,56.0,75.7,17K382
8,2006,All Students,436,646.0,63.0,14.4,159.0,36.5,187.0,42.9,27.0,6.2,214.0,49.1,14K318
6,2006,All Students,81,709.0,0.0,0.0,0.0,0.0,26.0,32.1,55.0,67.9,81.0,100.0,01M539
5,2007,All Students,75,683.0,2.0,2.7,11.0,14.7,42.0,56.0,20.0,26.7,62.0,82.7,15K130
All Grades,2006,All Students,293,,0.0,0.0,13.0,4.4,166.0,56.7,114.0,38.9,280.0,95.6,27Q323
All Grades,2011,All Students,259,680.0,28.0,10.8,98.0,37.8,97.0,37.5,36.0,13.9,133.0,51.4,21K188
3,2010,All Students,78,677.0,18.0,23.1,34.0,43.6,20.0,25.6,6.0,7.7,26.0,33.3,32K116
3,2008,All Students,148,686.0,3.0,2.0,14.0,9.5,95.0,64.2,36.0,24.3,131.0,88.5,32K145
8,2010,All Students,176,651.0,50.0,28.4,97.0,55.1,24.0,13.6,5.0,2.8,29.0,16.5,09X022
3,2010,All Students,46,673.0,9.0,19.6,26.0,56.5,10.0,21.7,1.0,2.2,11.0,23.9,19K174
5,2009,All Students,113,654.0,11.0,9.7,33.0,29.2,61.0,54.0,8.0,7.1,69.0,61.1,06M115
7,2011,All Students,142,685.0,4.0,2.8,34.0,23.9,58.0,40.8,46.0,32.4,104.0,73.2,31R063
6,2011,All Students,2,,,,,,,,,,,,75R037
7,2007,All Students,74,648.0,8.0,10.8,34.0,45.9,27.0,36.5,5.0,6.8,32.0,43.2,13K103
3,2010,All Students,106,703.0,5.0,4.7,23.0,21.7,40.0,37.7,38.0,35.8,78.0,73.6,25Q022
6,2008,All Students,57,643.0,5.0,8.8,29.0,50.9,23.0,40.4,0.0,0.0,23.0,40.4,12X245
5,2008,All Students,6,658.0,0.0,0.0,2.0,33.3,4.0,66.7,0.0,0.0,4.0,66.7,08X131
4,2008,All Students,89,680.0,0.0,0.0,7.0,7.9,67.0,75.3,15.0,16.9,82.0,92.1,28Q080
3,2008,All Students,208,687.0,2.0,1.0,8.0,3.8,152.0,73.1,46.0,22.1,198.0,95.2,29Q135
8,2011,All Students,538,690.0,25.0,4.6,109.0,20.3,248.0,46.1,156.0,29.0,404.0,75.1,24Q005
6,2006,All Students,63,647.0,9.0,14.3,23.0,36.5,28.0,44.4,3.0,4.8,31.0,49.2,03M860
All Grades,2006,All Students,272,,22.0,8.1,27.0,9.9,141.0,51.8,82.0,30.1,223.0,82.0,31R052
8,2009,All Students,466,675.0,15.0,3.2,44.0,9.4,343.0,73.6,64.0,13.7,407.0,87.3,14K318
6,2008,All Students,49,662.0,2.0,4.1,11.0,22.4,34.0,69.4,2.0,4.1,36.0,73.5,10X243
All Grades,2011,All Students,642,697.0,13.0,2.0,128.0,19.9,307.0,47.8,194.0,30.2,501.0,78.0,24Q012
7,2008,All Students,96,657.0,5.0,5.2,29.0,30.2,52.0,54.2,10.0,10.4,62.0,64.6,12X316
4,2008,All Students,115,676.0,7.0,6.1,14.0,12.2,64.0,55.7,30.0,26.1,94.0,81.7,28Q206
5,2009,All Students,87,666.0,0.0,0.0,19.0,21.8,61.0,70.1,7.0,8.0,68.0,78.2,11X112
3,2009,All Students,78,692.0,0.0,0.0,3.0,3.8,53.0,67.9,22.0,28.2,75.0,96.2,03M180
All Grades,2011,All Students,33,660.0,6.0,18.2,17.0,51.5,9.0,27.3,1.0,3.0,10.0,30.3,75M138
6,2008,All Students,25,664.0,1.0,4.0,7.0,28.0,15.0,60.0,2.0,8.0,17.0,68.0,30Q111
All Grades,2007,All Students,244,,73.0,29.9,136.0,55.7,34.0,13.9,1.0,0.4,35.0,14.3,05M286
All Grades,2008,All Students,462,,37.0,8.0,108.0,23.4,271.0,58.7,46.0,10.0,317.0,68.6,06M132
5,2011,All Students,81,674.0,7.0,8.6,32.0,39.5,35.0,43.2,7.0,8.6,42.0,51.9,07X018
All Grades,2006,All Students,465,,43.0,9.2,97.0,20.9,244.0,52.5,81.0,17.4,325.0,69.9,30Q127
7,2009,All Students,92,657.0,0.0,0.0,30.0,32.6,57.0,62.0,5.0,5.4,62.0,67.4,07X029
4,2009,All Students,78,701.0,1.0,1.3,4.0,5.1,38.0,48.7,35.0,44.9,73.0,93.6,21K216
4,2006,All Students,20,651.0,3.0,15.0,7.0,35.0,8.0,40.0,2.0,10.0,10.0,50.0,06M210
3,2010,All Students,61,665.0,24.0,39.3,30.0,49.2,7.0,11.5,0.0,0.0,7.0,11.5,14K059
5,2006,All Students,102,683.0,11.0,10.8,7.0,6.9,36.0,35.3,48.0,47.1,84.0,82.4,02M002
3,2008,All Students,39,672.0,2.0,5.1,5.0,12.8,28.0,71.8,4.0,10.3,32.0,82.1,05M318
All Grades,2006,All Students,345,,68.0,19.7,95.0,27.5,148.0,42.9,34.0,9.9,182.0,52.8,09X109
7,2009,All Students,60,686.0,0.0,0.0,1.0,1.7,37.0,61.7,22.0,36.7,59.0,98.3,13K266
6,2010,All Students,57,664.0,6.0,10.5,34.0,59.6,16.0,28.1,1.0,1.8,17.0,29.8,12X372
7,2007,All Students,102,696.0,0.0,0.0,0.0,0.0,52.0,51.0,50.0,49.0,102.0,100.0,18K235
All Grades,2008,All Students,563,,73.0,13.0,256.0,45.5,214.0,38.0,20.0,3.6,234.0,41.6,11X272
3,2008,All Students,15,643.0,1.0,6.7,8.0,53.3,6.0,40.0,0.0,0.0,6.0,40.0,75Q023
All Grades,2008,All Students,1058,,10.0,0.9,82.0,7.8,493.0,46.6,473.0,44.7,966.0,91.3,25Q194
4,2009,All Students,9,644.0,3.0,33.3,2.0,22.2,4.0,44.4,0.0,0.0,4.0,44.4,75K004
All Grades,2011,All Students,493,691.0,14.0,2.8,125.0,25.4,240.0,48.7,114.0,23.1,354.0,71.8,11X096
4,2008,All Students,148,661.0,10.0,6.8,48.0,32.4,71.0,48.0,19.0,12.8,90.0,60.8,09X114
7,2010,All Students,60,657.0,13.0,21.7,29.0,48.3,16.0,26.7,2.0,3.3,18.0,30.0,05M469
All Grades,2010,All Students,672,,46.0,6.8,260.0,38.7,259.0,38.5,107.0,15.9,366.0,54.5,11X105
All Grades,2006,All Students,744,,280.0,37.6,316.0,42.5,141.0,19.0,7.0,0.9,148.0,19.9,19K166
5,2007,All Students,85,656.0,9.0,10.6,25.0,29.4,44.0,51.8,7.0,8.2,51.0,60.0,12X300
4,2011,All Students,66,653.0,17.0,25.8,35.0,53.0,13.0,19.7,1.0,1.5,14.0,21.2,05M197
All Grades,2006,All Students,504,,208.0,41.3,188.0,37.3,101.0,20.0,7.0,1.4,108.0,21.4,09X325
All Grades,2007,All Students,408,,11.0,2.7,72.0,17.6,239.0,58.6,86.0,21.1,325.0,79.7,22K315
7,2009,All Students,144,670.0,1.0,0.7,19.0,13.2,104.0,72.2,20.0,13.9,124.0,86.1,08X371
7,2010,All Students,137,693.0,0.0,0.0,21.0,15.3,58.0,42.3,58.0,42.3,116.0,84.7,15K443
3,2010,All Students,55,661.0,26.0,47.3,18.0,32.7,7.0,12.7,4.0,7.3,11.0,20.0,05M194
4,2007,All Students,115,668.0,5.0,4.3,31.0,27.0,65.0,56.5,14.0,12.2,79.0,68.7,22K315
All Grades,2009,All Students,195,,3.0,1.5,18.0,9.2,102.0,52.3,72.0,36.9,174.0,89.2,01M110
6,2010,All Students,67,672.0,2.0,3.0,38.0,56.7,21.0,31.3,6.0,9.0,27.0,40.3,16K393
5,2010,All Students,45,693.0,0.0,0.0,10.0,22.2,26.0,57.8,9.0,20.0,35.0,77.8,02M033
6,2008,All Students,11,635.0,5.0,45.5,0.0,0.0,4.0,36.4,2.0,18.2,6.0,54.5,75Q224
4,2007,All Students,114,693.0,6.0,5.3,8.0,7.0,53.0,46.5,47.0,41.2,100.0,87.7,20K069
6,2006,All Students,95,641.0,16.0,16.8,32.0,33.7,45.0,47.4,2.0,2.1,47.0,49.5,27Q105
6,2010,All Students,116,652.0,29.0,25.0,63.0,54.3,20.0,17.2,4.0,3.4,24.0,20.7,08X301
4,2010,All Students,128,676.0,10.0,7.8,52.0,40.6,51.0,39.8,15.0,11.7,66.0,51.6,19K346
6,2006,All Students,142,643.0,23.0,16.2,60.0,42.3,52.0,36.6,7.0,4.9,59.0,41.5,27Q043
4,2007,All Students,308,683.0,11.0,3.6,49.0,15.9,155.0,50.3,93.0,30.2,248.0,80.5,24Q019
5,2008,All Students,190,652.0,24.0,12.6,64.0,33.7,87.0,45.8,15.0,7.9,102.0,53.7,06M189
7,2011,All Students,56,658.0,11.0,19.6,31.0,55.4,10.0,17.9,4.0,7.1,14.0,25.0,13K265
All Grades,2010,All Students,265,,34.0,12.8,154.0,58.1,65.0,24.5,12.0,4.5,77.0,29.1,06M528
5,2011,All Students,84,654.0,23.0,27.4,44.0,52.4,16.0,19.0,1.0,1.2,17.0,20.2,07X385
4,2006,All Students,101,653.0,20.0,19.8,26.0,25.7,47.0,46.5,8.0,7.9,55.0,54.5,13K003
3,2008,All Students,156,697.0,0.0,0.0,5.0,3.2,102.0,65.4,49.0,31.4,151.0,96.8,31R006
6,2006,All Students,64,649.0,9.0,14.1,21.0,32.8,29.0,45.3,5.0,7.8,34.0,53.1,01M137
5,2006,All Students,143,640.0,30.0,21.0,53.0,37.1,58.0,40.6,2.0,1.4,60.0,42.0,15K024
All Grades,2008,All Students,104,,42.0,40.4,39.0,37.5,17.0,16.3,6.0,5.8,23.0,22.1,75M094
8,2010,All Students,63,647.0,25.0,39.7,34.0,54.0,3.0,4.8,1.0,1.6,4.0,6.3,13K265
3,2010,All Students,88,678.0,16.0,18.2,48.0,54.5,19.0,21.6,5.0,5.7,24.0,27.3,29Q116
All Grades,2011,All Students,181,696.0,0.0,0.0,16.0,8.8,83.0,45.9,82.0,45.3,165.0,91.2,28Q680
All Grades,2010,All Students,408,,62.0,15.2,210.0,51.5,103.0,25.2,33.0,8.1,136.0,33.3,06M132
3,2008,All Students,99,685.0,2.0,2.0,8.0,8.1,69.0,69.7,20.0,20.2,89.0,89.9,08X036
All Grades,2006,All Students,305,,9.0,3.0,37.0,12.1,160.0,52.5,99.0,32.5,259.0,84.9,30Q002
7,2010,All Students,93,653.0,16.0,17.2,59.0,63.4,15.0,16.1,3.0,3.2,18.0,19.4,10X308
3,2008,All Students,76,678.0,4.0,5.3,6.0,7.9,51.0,67.1,15.0,19.7,66.0,86.8,07X031
All Grades,2010,All Students,774,,136.0,17.6,333.0,43.0,159.0,20.5,146.0,18.9,305.0,39.4,28Q072
6,2007,All Students,78,711.0,0.0,0.0,0.0,0.0,32.0,41.0,46.0,59.0,78.0,100.0,18K235
3,2009,All Students,35,657.0,3.0,8.6,7.0,20.0,22.0,62.9,3.0,8.6,25.0,71.4,03M241
4,2006,All Students,71,663.0,0.0,0.0,20.0,28.2,48.0,67.6,3.0,4.2,51.0,71.8,29Q132
6,2008,All Students,56,661.0,6.0,10.7,10.0,17.9,34.0,60.7,6.0,10.7,40.0,71.4,05M133
4,2010,All Students,157,684.0,14.0,8.9,59.0,37.6,39.0,24.8,45.0,28.7,84.0,53.5,24Q091
4,2010,All Students,228,702.0,3.0,1.3,43.0,18.9,91.0,39.9,91.0,39.9,182.0,79.8,25Q020
All Grades,2009,All Students,78,,12.0,15.4,36.0,46.2,28.0,35.9,2.0,2.6,30.0,38.5,75K053
7,2011,All Students,73,662.0,6.0,8.2,45.0,61.6,18.0,24.7,4.0,5.5,22.0,30.1,10X225
