air/no2_daily_summary.o3_AQI,air/no2_daily_summary.f0_,air/no2_daily_summary.f1_,air/no2_daily_summary.f2_,air/no2_daily_summary.f3_,air/no2_daily_summary.f4_,air/no2_daily_summary.f5_,air/no2_daily_summary.f6_,Day
24.92768079800498,26.33965087281798,13.463840399002487,22.84039900249376,95.26184538653364,North Dakota,Mercer,Beulah,1998-07-31
24.540816326530617,25.95204081632651,13.512755102040815,23.033163265306133,96.04081632653065,Puerto Rico,Catano,Catano,2005-01-14
16.56010928961749,17.617486338797832,9.765027322404366,22.69672131147543,94.66393442622947,North Dakota,Mercer,Not in a city,2009-06-30
20.220140515222496,21.73653395784543,10.922716627634664,22.84074941451992,95.25761124121776,Wyoming,Fremont,Riverton,2020-10-14
11.051643192488273,11.954694835680764,11.835680751173705,22.83098591549296,95.18779342723,Wyoming,Sweetwater,Not in a city,2015-08-30
28.824362606232302,30.388668555240784,12.048158640226628,23.36543909348441,97.42492917847024,North Dakota,Mercer,Beulah,1996-01-01
28.63224181360202,30.25465994962215,12.148614609571792,23.518891687657444,98.05793450881607,North Dakota,Steele,Sharon,1999-08-28
11.747685185185189,12.754629629629628,11.854166666666648,22.83564814814815,95.20601851851848,Wyoming,Fremont,Riverton,2020-09-20
24.33418367346937,25.771938775510183,13.107142857142854,23.46428571428574,97.8341836734695,North Dakota,Mercer,Not in a city,2002-11-30
29.435695538057747,31.24881889763779,13.91076115485564,23.27034120734908,97.05249343832024,North Dakota,Mercer,Beulah,1998-04-10
22.11139896373057,23.41709844559586,11.67875647668394,22.75129533678755,94.90673575129534,Puerto Rico,Catano,Catano,2006-11-29
33.85384615384613,35.7025641025641,14.19743589743589,22.764102564102565,94.95128205128202,North Dakota,Steele,Sharon,2000-11-02
14.535248041775452,15.470757180156657,10.976501305483028,23.318537859007844,97.23237597911232,North Dakota,Mercer,Not in a city,2008-08-09
27.18266253869968,28.69690402476781,8.869969040247668,23.34365325077398,97.33436532507746,North Dakota,Mercer,Beulah,1991-06-15
11.827906976744186,12.854418604651157,8.630232558139532,23.065116279069752,96.17674418604652,Wyoming,Sweetwater,Not in a city,2017-06-29
27.010389610389627,28.84857142857142,14.493506493506493,22.948051948051955,95.7324675324675,Wyoming,Sweetwater,Not in a city,2013-12-16
13.004535147392287,14.112698412698418,9.845804988662133,22.87301587301588,95.38548752834468,Wyoming,Fremont,Riverton,2021-08-16
36.44827586206896,38.34630541871921,12.899014778325116,23.00492610837439,95.94581280788182,North Dakota,Mercer,Not in a city,2001-10-02
16.69565217391308,17.916032608695645,11.279891304347828,22.853260869565208,95.32336956521726,Wyoming,Sweetwater,Not in a city,2012-09-10
21.227146814404428,22.69113573407203,12.75346260387811,22.778393351800567,95.0027700831025,Wyoming,Sweetwater,Not in a city,2012-01-26
26.552763819095485,28.09321608040202,10.861809045226128,22.56532663316585,94.11306532663316,North Dakota,Mercer,Not in a city,2005-09-28
19.762376237623748,20.913366336633672,10.415841584158414,22.967821782178213,95.80693069306923,North Dakota,Mercer,Not in a city,2004-04-18
12.66276346604216,13.770960187353626,12.817330210772845,22.990632318501167,95.88056206089,Wyoming,Sweetwater,Not in a city,2019-05-10
22.08401084010839,23.4018970189702,11.306233062330628,23.371273712737132,97.449864498645,North Dakota,Mercer,Not in a city,2008-11-08
32.285714285714256,34.05614617940196,8.883720930232561,22.83388704318935,95.2358803986712,North Dakota,Mercer,Beulah,1990-05-25
27.53092783505154,29.235567010309303,12.028350515463917,22.940721649484548,95.68041237113414,North Dakota,Mercer,Not in a city,2005-10-19
22.100719424460447,23.322302158273388,12.299760191846524,23.479616306954423,97.90167865707436,North Dakota,Mercer,Not in a city,2002-06-29
31.22888283378748,32.94250681198909,11.016348773841964,22.59945504087194,94.26975476839236,North Dakota,Mercer,Beulah,1997-03-12
29.30136986301372,31.130684931506885,13.073972602739724,22.830136986301373,95.22465753424656,North Dakota,Mercer,Beulah,1996-10-28
