air/co_daily_summary.o3_AQI,air/co_daily_summary.f0_,air/co_daily_summary.f1_,air/co_daily_summary.f2_,air/co_daily_summary.f3_,air/co_daily_summary.f4_,air/co_daily_summary.f5_,air/co_daily_summary.f6_,Day
15.212253829321671,1.495404814004378,7.428884026258213,23.748358862144435,98.9704595185996,Alabama,Jefferson,Birmingham,1991-08-24
6.195852534562212,0.6077011494252867,6.749425287356319,23.716091954022996,98.84597701149426,Alabama,Jefferson,Birmingham,2001-07-29
6.117647058823527,0.6108741830065361,7.013071895424833,23.168300653594784,96.5882352941176,Montana,Gallatin,West Yellowstone,2010-09-30
19.697872340425544,2.200957446808509,11.54255319148936,23.20106382978725,96.70851063829788,Alabama,Jefferson,Birmingham,1990-03-19
4.378378378378377,0.4449881956155148,7.374367622259699,23.010118043844827,95.93254637436766,Montana,Gallatin,West Yellowstone,2010-08-30
15.98818897637794,1.796650246305418,13.087684729064035,23.375369458128063,97.44039408866988,Alabama,Jefferson,Birmingham,1997-12-08
9.290465631929044,0.9932372505543244,11.315964523281597,23.651884700665164,98.58980044345896,Alabama,Jefferson,Birmingham,2003-03-14
5.349315068493152,0.5722328767123288,10.948630136986305,23.119863013698637,96.39212328767124,Arizona,Maricopa,Buckeye,2016-01-11
5.516806722689078,0.5358298319327724,8.090336134453784,23.579831932773104,98.28991596638652,Arizona,Maricopa,Buckeye,2021-01-03
4.926035502958576,0.501403249630724,7.827178729689817,23.192023633677987,96.67355982274744,Alabama,Jefferson,Fairfield,2007-07-24
6.023333333333332,0.6142583333333335,8.380000000000003,23.20666666666667,96.75333333333334,Pennsylvania,York,York,2015-11-10
5.197986577181207,0.5199127516778527,7.518456375838927,23.54697986577183,98.16778523489948,Pennsylvania,York,York,2014-10-26
7.750788643533118,0.7810662460567822,8.416403785488956,23.51577287066246,98.03312302839112,Pennsylvania,York,York,2011-12-04
12.67064439140812,1.331382598331346,11.815256257449349,23.18474374255067,96.64958283671032,Alabama,Jefferson,Birmingham,2004-12-21
5.948648648648652,0.6421135135135131,8.836486486486505,23.43243243243243,97.6743243243244,Alabama,Jefferson,Birmingham,2006-04-18
12.369978858350962,1.3562367864693434,9.396405919661737,23.40909090909091,97.5761099365751,Alabama,Jefferson,Birmingham,1999-04-15
10.03373493975903,1.071144578313252,10.830120481927706,23.52289156626505,98.0481927710844,Alabama,Jefferson,Birmingham,2004-10-29
17.608349900596433,1.7395024875621876,8.708457711442781,23.728358208955232,98.89154228855716,Alabama,Jefferson,Birmingham,1997-01-04
5.007874015748034,0.5365629921259839,12.38582677165355,23.507874015748044,97.98818897637794,Nevada,Washoe,Reno,2022-01-22
3.966329966329966,0.4037554806070825,6.998313659359192,23.170320404721725,96.59527824620572,Pennsylvania,York,York,2012-05-07
18.6536203522505,2.05890410958904,13.124266144814111,23.356164383561648,97.36301369863024,Alabama,Jefferson,Birmingham,1997-03-20
5.350746268656716,0.5179639303482585,6.442786069651741,23.758706467661668,99.03233830845784,Alabama,Jefferson,Birmingham,2004-05-23
10.546038543897206,1.1578778135048244,10.152197213290457,23.205787781350477,96.73419078242236,Alabama,Jefferson,Birmingham,1999-09-01
3.390845070422537,0.3304595070422534,5.073943661971831,23.49471830985916,97.94718309859157,Pennsylvania,York,York,2013-06-16
13.237816764132551,1.436354775828458,11.372319688109163,23.381091617933688,97.45614035087712,Alabama,Jefferson,Birmingham,1995-03-24
6.206349206349207,0.6342361111111111,11.480158730158728,23.335317460317444,97.27380952380943,Arizona,Maricopa,Buckeye,2020-01-03
17.25581395348838,1.849825783972127,10.955865272938446,23.514518002322863,98.01045296167251,Alabama,Jefferson,Birmingham,1990-08-24
14.14613778705637,1.54185803757829,9.70772442588728,23.35281837160754,97.34029227557406,Alabama,Jefferson,Birmingham,1994-05-24
7.949685534591187,0.785683962264151,8.735849056603762,23.482704402515736,97.88364779874222,Pennsylvania,York,York,2011-11-11
3.53125,0.3628041594454073,8.358752166377817,22.80762564991336,95.10571923743504,Pennsylvania,York,York,2015-06-29
10.814254859611234,1.155831533477322,9.541036717062628,23.409287257019425,97.57667386609064,Alabama,Jefferson,Birmingham,1999-07-23
6.556521739130428,0.6646717391304348,10.20652173913044,23.652173913043484,98.58695652173908,Arizona,Maricopa,Buckeye,2021-12-04
11.19269776876268,1.1423935091277888,7.630831643002025,23.70689655172415,98.8042596348884,Alabama,Jefferson,Birmingham,1995-06-18
14.49163179916318,1.5662133891213394,10.43410041841004,23.42782426778239,97.66004184100412,Alabama,Jefferson,Birmingham,1997-09-25
4.62549800796813,0.4905657370517928,10.31075697211155,23.035856573705185,96.02788844621512,Arizona,Maricopa,Buckeye,2020-01-30
5.899253731343281,0.5965242537313433,9.097014925373143,23.679104477611943,98.69589552238804,Arizona,Maricopa,Buckeye,2018-12-08
14.709016393442626,1.5309426229508205,10.84733606557376,23.67930327868853,98.68545081967194,Alabama,Jefferson,Birmingham,1993-09-04
3.9340277777777786,0.4067065972222224,6.0711805555555545,23.14583333333333,96.50520833333324,Pennsylvania,York,York,2013-04-22
